Problem 4
A, m, coins, time
2087, 39, [1 2 1 0 0 2 33 ],  3
2088, 35, [0 0 0 0 0 1 34 ],  3
2089, 36, [1 0 0 0 0 1 34 ],  3
2090, 36, [0 1 0 0 0 1 34 ],  3
2091, 37, [1 1 0 0 0 1 34 ],  3
2092, 37, [0 2 0 0 0 1 34 ],  3
2093, 38, [1 2 0 0 0 1 34 ],  3
2094, 36, [0 0 1 0 0 1 34 ],  3
2095, 37, [1 0 1 0 0 1 34 ],  3
2096, 37, [0 1 1 0 0 1 34 ],  3
2097, 38, [1 1 1 0 0 1 34 ],  3
2098, 38, [0 2 1 0 0 1 34 ],  3
2099, 39, [1 2 1 0 0 1 34 ],  3
2100, 35, [0 0 0 0 0 0 35 ],  3
2101, 36, [1 0 0 0 0 0 35 ],  3
2102, 36, [0 1 0 0 0 0 35 ],  3
2103, 37, [1 1 0 0 0 0 35 ],  3
2104, 37, [0 2 0 0 0 0 35 ],  3
2105, 38, [1 2 0 0 0 0 35 ],  3
2106, 36, [0 0 1 0 0 0 35 ],  3
2107, 37, [1 0 1 0 0 0 35 ],  3
2108, 37, [0 1 1 0 0 0 35 ],  3
2109, 38, [1 1 1 0 0 0 35 ],  3
2110, 38, [0 2 1 0 0 0 35 ],  3
2111, 39, [1 2 1 0 0 0 35 ],  3
2112, 36, [0 0 0 1 0 0 35 ],  3
2113, 37, [1 0 0 1 0 0 35 ],  3
2114, 37, [0 1 0 1 0 0 35 ],  3
2115, 38, [1 1 0 1 0 0 35 ],  3
2116, 38, [0 2 0 1 0 0 35 ],  3
2117, 39, [1 2 0 1 0 0 35 ],  3
2118, 37, [0 0 1 1 0 0 35 ],  3
2119, 38, [1 0 1 1 0 0 35 ],  3
2120, 38, [0 1 1 1 0 0 35 ],  3
2121, 39, [1 1 1 1 0 0 35 ],  3
2122, 39, [0 2 1 1 0 0 35 ],  3
2123, 40, [1 2 1 1 0 0 35 ],  3
2124, 36, [0 0 0 0 1 0 35 ],  3
2125, 37, [1 0 0 0 1 0 35 ],  4
2126, 37, [0 1 0 0 1 0 35 ],  4
2127, 38, [1 1 0 0 1 0 35 ],  4
2128, 38, [0 2 0 0 1 0 35 ],  4
2129, 39, [1 2 0 0 1 0 35 ],  4
2130, 37, [0 0 1 0 1 0 35 ],  4
2131, 38, [1 0 1 0 1 0 35 ],  4
2132, 38, [0 1 1 0 1 0 35 ],  4
2133, 39, [1 1 1 0 1 0 35 ],  4
2134, 39, [0 2 1 0 1 0 35 ],  4
2135, 40, [1 2 1 0 1 0 35 ],  4
2136, 36, [0 0 0 0 0 2 34 ],  4
2137, 37, [1 0 0 0 0 2 34 ],  4
2138, 37, [0 1 0 0 0 2 34 ],  4
2139, 38, [1 1 0 0 0 2 34 ],  4
2140, 38, [0 2 0 0 0 2 34 ],  4
2141, 39, [1 2 0 0 0 2 34 ],  4
2142, 37, [0 0 1 0 0 2 34 ],  4
2143, 38, [1 0 1 0 0 2 34 ],  4
2144, 38, [0 1 1 0 0 2 34 ],  4
2145, 39, [1 1 1 0 0 2 34 ],  4
2146, 39, [0 2 1 0 0 2 34 ],  4
2147, 40, [1 2 1 0 0 2 34 ],  4
2148, 36, [0 0 0 0 0 1 35 ],  4
2149, 37, [1 0 0 0 0 1 35 ],  4
2150, 37, [0 1 0 0 0 1 35 ],  4
2151, 38, [1 1 0 0 0 1 35 ],  4
2152, 38, [0 2 0 0 0 1 35 ],  4
2153, 39, [1 2 0 0 0 1 35 ],  4
2154, 37, [0 0 1 0 0 1 35 ],  4
2155, 38, [1 0 1 0 0 1 35 ],  4
2156, 38, [0 1 1 0 0 1 35 ],  4
2157, 39, [1 1 1 0 0 1 35 ],  4
2158, 39, [0 2 1 0 0 1 35 ],  4
2159, 40, [1 2 1 0 0 1 35 ],  4
2160, 36, [0 0 0 0 0 0 36 ],  4
2161, 37, [1 0 0 0 0 0 36 ],  4
2162, 37, [0 1 0 0 0 0 36 ],  4
2163, 38, [1 1 0 0 0 0 36 ],  4
2164, 38, [0 2 0 0 0 0 36 ],  4
2165, 39, [1 2 0 0 0 0 36 ],  4
2166, 37, [0 0 1 0 0 0 36 ],  4
2167, 38, [1 0 1 0 0 0 36 ],  4
2168, 38, [0 1 1 0 0 0 36 ],  4
2169, 39, [1 1 1 0 0 0 36 ],  4
2170, 39, [0 2 1 0 0 0 36 ],  4
2171, 40, [1 2 1 0 0 0 36 ],  4
2172, 37, [0 0 0 1 0 0 36 ],  4
2173, 38, [1 0 0 1 0 0 36 ],  4
2174, 38, [0 1 0 1 0 0 36 ],  4
2175, 39, [1 1 0 1 0 0 36 ],  4
2176, 39, [0 2 0 1 0 0 36 ],  4
2177, 40, [1 2 0 1 0 0 36 ],  4
2178, 38, [0 0 1 1 0 0 36 ],  4
2179, 39, [1 0 1 1 0 0 36 ],  4
2180, 39, [0 1 1 1 0 0 36 ],  4
2181, 40, [1 1 1 1 0 0 36 ],  4
2182, 40, [0 2 1 1 0 0 36 ],  4
2183, 41, [1 2 1 1 0 0 36 ],  4
2184, 37, [0 0 0 0 1 0 36 ],  4
2185, 38, [1 0 0 0 1 0 36 ],  4
2186, 38, [0 1 0 0 1 0 36 ],  4
2187, 39, [1 1 0 0 1 0 36 ],  4
2188, 39, [0 2 0 0 1 0 36 ],  4
2189, 40, [1 2 0 0 1 0 36 ],  4
2190, 38, [0 0 1 0 1 0 36 ],  4
2191, 39, [1 0 1 0 1 0 36 ],  4
2192, 39, [0 1 1 0 1 0 36 ],  4
2193, 40, [1 1 1 0 1 0 36 ],  4
2194, 40, [0 2 1 0 1 0 36 ],  5
2195, 41, [1 2 1 0 1 0 36 ],  5
2196, 37, [0 0 0 0 0 2 35 ],  5
2197, 38, [1 0 0 0 0 2 35 ],  5
2198, 38, [0 1 0 0 0 2 35 ],  5
2199, 39, [1 1 0 0 0 2 35 ],  5
2200, 39, [0 2 0 0 0 2 35 ],  5

Problem 5-b
A, m, coins, time
2000, 85, [0 1 1 0 83 ],  5
2001, 86, [1 1 1 0 83 ],  5
2002, 86, [0 2 1 0 83 ],  5
2003, 87, [1 2 1 0 83 ],  5
2004, 84, [0 0 0 1 83 ],  5
2005, 85, [1 0 0 1 83 ],  5
2006, 85, [0 1 0 1 83 ],  5
2007, 86, [1 1 0 1 83 ],  5
2008, 86, [0 2 0 1 83 ],  5
2009, 87, [1 2 0 1 83 ],  5
2010, 85, [0 0 1 1 83 ],  5
2011, 86, [1 0 1 1 83 ],  5
2012, 86, [0 1 1 1 83 ],  5
2013, 87, [1 1 1 1 83 ],  5
2014, 87, [0 2 1 1 83 ],  5
2015, 88, [1 2 1 1 83 ],  5
2016, 84, [0 0 0 0 84 ],  5
2017, 85, [1 0 0 0 84 ],  5
2018, 85, [0 1 0 0 84 ],  5
2019, 86, [1 1 0 0 84 ],  5
2020, 86, [0 2 0 0 84 ],  5
2021, 87, [1 2 0 0 84 ],  5
2022, 85, [0 0 1 0 84 ],  5
2023, 86, [1 0 1 0 84 ],  5
2024, 86, [0 1 1 0 84 ],  5
2025, 87, [1 1 1 0 84 ],  5
2026, 87, [0 2 1 0 84 ],  5
2027, 88, [1 2 1 0 84 ],  5
2028, 85, [0 0 0 1 84 ],  5
2029, 86, [1 0 0 1 84 ],  5
2030, 86, [0 1 0 1 84 ],  5
2031, 87, [1 1 0 1 84 ],  5
2032, 87, [0 2 0 1 84 ],  5
2033, 88, [1 2 0 1 84 ],  5
2034, 86, [0 0 1 1 84 ],  5
2035, 87, [1 0 1 1 84 ],  5
2036, 87, [0 1 1 1 84 ],  5
2037, 88, [1 1 1 1 84 ],  5
2038, 88, [0 2 1 1 84 ],  5
2039, 89, [1 2 1 1 84 ],  5
2040, 85, [0 0 0 0 85 ],  5
2041, 86, [1 0 0 0 85 ],  5
2042, 86, [0 1 0 0 85 ],  5
2043, 87, [1 1 0 0 85 ],  5
2044, 87, [0 2 0 0 85 ],  5
2045, 88, [1 2 0 0 85 ],  5
2046, 86, [0 0 1 0 85 ],  5
2047, 87, [1 0 1 0 85 ],  5
2048, 87, [0 1 1 0 85 ],  5
2049, 88, [1 1 1 0 85 ],  5
2050, 88, [0 2 1 0 85 ],  5
2051, 89, [1 2 1 0 85 ],  5
2052, 86, [0 0 0 1 85 ],  5
2053, 87, [1 0 0 1 85 ],  5
2054, 87, [0 1 0 1 85 ],  5
2055, 88, [1 1 0 1 85 ],  5
2056, 88, [0 2 0 1 85 ],  5
2057, 89, [1 2 0 1 85 ],  5
2058, 87, [0 0 1 1 85 ],  5
2059, 88, [1 0 1 1 85 ],  5
2060, 88, [0 1 1 1 85 ],  5
2061, 89, [1 1 1 1 85 ],  5
2062, 89, [0 2 1 1 85 ],  5
2063, 90, [1 2 1 1 85 ],  5
2064, 86, [0 0 0 0 86 ],  5
2065, 87, [1 0 0 0 86 ],  5
2066, 87, [0 1 0 0 86 ],  5
2067, 88, [1 1 0 0 86 ],  5
2068, 88, [0 2 0 0 86 ],  5
2069, 89, [1 2 0 0 86 ],  5
2070, 87, [0 0 1 0 86 ],  5
2071, 88, [1 0 1 0 86 ],  5
2072, 88, [0 1 1 0 86 ],  5
2073, 89, [1 1 1 0 86 ],  5
2074, 89, [0 2 1 0 86 ],  5
2075, 90, [1 2 1 0 86 ],  5
2076, 87, [0 0 0 1 86 ],  5
2077, 88, [1 0 0 1 86 ],  5
2078, 88, [0 1 0 1 86 ],  5
2079, 89, [1 1 0 1 86 ],  6
2080, 89, [0 2 0 1 86 ],  6
2081, 90, [1 2 0 1 86 ],  6
2082, 88, [0 0 1 1 86 ],  6
2083, 89, [1 0 1 1 86 ],  6
